"SUID","corr","interaction","name","selected","shared interaction","shared name"
"1158","0.239","pp","ret2-1 (pp) vps13","false","pp","ret2-1 (pp) vps13"
"1159","0.238","pp","ret2-1 (pp) vps30","false","pp","ret2-1 (pp) vps30"
"1160","0.286","pp","ret2-1 (pp) vps38","false","pp","ret2-1 (pp) vps38"
"1161","0.289","pp","ret2-1 (pp) vps63","false","pp","ret2-1 (pp) vps63"
"1162","0.203","pp","ret2-1 (pp) vti1-11","false","pp","ret2-1 (pp) vti1-11"
"1163","0.405","pp","ret2-1 (pp) vti1-2","false","pp","ret2-1 (pp) vti1-2"
"1164","0.228","pp","ret2-1 (pp) ydr203w","false","pp","ret2-1 (pp) ydr203w"
"1165","0.241","pp","ret2-1 (pp) ydr236c-ph","false","pp","ret2-1 (pp) ydr236c-ph"
"1166","0.224","pp","ret2-1 (pp) yer084w","false","pp","ret2-1 (pp) yer084w"
"1167","0.231","pp","ret2-1 (pp) yip1-4","false","pp","ret2-1 (pp) yip1-4"
"1168","0.235","pp","ret2-1 (pp) ykt6-ph","false","pp","ret2-1 (pp) ykt6-ph"
"1169","0.505","pp","ret2-1 (pp) ylr269c","false","pp","ret2-1 (pp) ylr269c"
"1170","0.475","pp","ret2-1 (pp) ypt1-3","false","pp","ret2-1 (pp) ypt1-3"
"1171","0.305","pp","ret2-1 (pp) ypt6","false","pp","ret2-1 (pp) ypt6"
"1172","0.497","pp","ret2-1 (pp) ret3-1","false","pp","ret2-1 (pp) ret3-1"
"1173","0.293","pp","ret2-1 (pp) rud3","false","pp","ret2-1 (pp) rud3"
"1174","0.298","pp","ret2-1 (pp) sec17-1","false","pp","ret2-1 (pp) sec17-1"
"1175","0.323","pp","ret2-1 (pp) rgp1","false","pp","ret2-1 (pp) rgp1"
"1176","0.365","pp","ret2-1 (pp) ric1","false","pp","ret2-1 (pp) ric1"
"1177","0.472","pp","ret2-1 (pp) sec26-11d26","false","pp","ret2-1 (pp) sec26-11d26"
"1178","0.46","pp","ret2-1 (pp) sec26-f856aw860a","false","pp","ret2-1 (pp) sec26-f856aw860a"
"1179","0.276","pp","ret2-1 (pp) sec18-1","false","pp","ret2-1 (pp) sec18-1"
"1180","0.222","pp","ret2-1 (pp) sec22-1","false","pp","ret2-1 (pp) sec22-1"
"1181","0.226","pp","ret2-1 (pp) sec39-1","false","pp","ret2-1 (pp) sec39-1"
"1182","0.503","pp","ret2-1 (pp) sec27-1","false","pp","ret2-1 (pp) sec27-1"
"1183","0.335","pp","ret2-1 (pp) sec28","false","pp","ret2-1 (pp) sec28"
"1184","0.385","pp","sec26-f856aw860a (pp) ypt1-3","false","pp","sec26-f856aw860a (pp) ypt1-3"
"1185","0.482","pp","sec26-f856aw860a (pp) ylr269c","false","pp","sec26-f856aw860a (pp) ylr269c"
"1186","0.248","pp","sec26-f856aw860a (pp) ykt6-ph","false","pp","sec26-f856aw860a (pp) ykt6-ph"
"1187","0.248","pp","sec26-f856aw860a (pp) yip1-4","false","pp","sec26-f856aw860a (pp) yip1-4"
"1188","0.364","pp","sec26-f856aw860a (pp) ypt6","false","pp","sec26-f856aw860a (pp) ypt6"
"1189","0.207","pp","sec26-f856aw860a (pp) vti1-11","false","pp","sec26-f856aw860a (pp) vti1-11"
